"ChassisID","BoltPattern","Hubbore","HubboreRear","MaxWheelLoad","Nutorbolt","NutBoltThreadType","NutBoltHex","BoltLength","Minboltlength","Maxboltlength","NutBoltTorque","AxleWeightFront","AxleWeightRear","TPMS"
"4790","4x114.3","66.1","0.00","924","nut","M12x1.25","21","","0","0","70","0","0",""
"4791","5x127","71.5","","1100","nut","1/2 UNF","19","","","","100","","",""
"4792","5x100","57.1","","1287","nut","M12x1.5","19","","","","100","","",""
"4793","5x120.65","70.3","","1133","nut","7/16 UNF","19","","","","100","","",""
"4794","5x127","78.3","0.00","1298","nut","1/2 UNF","19","","0","0","100","0","0",""
"4795","5x100","57.1","","1287","nut","M12x1.5","19","","","","100","","",""
"4796","4x114.3","67.1","","1067","nut","M12x1.5","19","","","","75","","",""
"4797","4x114.3","67.1","","1067","nut","M12x1.5","19","","","","75","","",""
"4798","4x100","57.1","","1199","nut","M12x1.5","19","","","","95","","",""
"4799","6x139.7","100.5","0.00","2024","nut","M12x1.25","21","","0","0","98","0","0",""
"4801","4x114.3","66.1","","986","nut","M12x1.25","21","","","","70","","",""
"4802","5x100","57.1","","1067","nut","M12x1.5","19","","","","80","","",""
"4803","5x120.65","70.3","","1298","nut","7/16 UNF","19","","","","70","","",""
"4804","5x100","57.1","","1287","nut","M12x1.5","19","","","","100","","",""
"4806","4x100","57.1","","1067","nut","M12x1.5","19","","","","75","","",""
"4807","4x100","60.1","0.00","935","bolt","M12x1.5","19","26.00","25","28","66","0","0",""
"4808","4x100","60.1","0.00","935","bolt","M12x1.5","19","26.00","25","28","66","0","0",""
"4809","4x140","94.5","","953","nut","M12x1.25","19","","","","66","","",""
"4810","4x114.3","66.1","","1074","nut","M12x1.25","21","","","","70","","",""
"4811","4x114.3","66.1","","889","nut","M12x1.25","21","","","","70","","",""
"4812","4x114.3","66.1","0.00","1100","nut","M12x1.25","21","","0","0","70","0","0",""
"4813","4x114.3","66.1","","1100","nut","M12x1.25","21","","","","70","","",""
"4814","6x139.7","110","","2024","nut","M12x1.25","21","","","","70","","",""
"4815","6x139.7","110","","2024","nut","M12x1.25","21","","","","70","","",""
"4816","4x114.3","66.1","","1100","nut","M12x1.25","21","","","","70","","",""
"4817","5x100","54.1","","1034","nut","M12x1.5","21","","","","76","","",""
"4818","4x114.3","60.1","0.00","1133","nut","M12x1.5","21","","0","0","76","0","0",""
"4819","4x114.3","60.1","","1133","nut","M12x1.5","21","","","","76","","",""
"4820","5x114.3","60.1","","1606","nut","M12x1.5","21","","","","76","","",""
"4821","6x139.7","106","","1606","nut","M12x1.5","21","","","","76","","",""
